run,when,session_id,load,fam,loc,sev,label,logname
1,2021-06-25T06:59,0Nm_Normal,0,normal,none,,HEALTHY,LogFile_0Nm_Normal
2,2021-06-25T07:48,0Nm_Unbalance_0583mg,0,unbalance,rotor,0583,WARNING,LogFile_0Nm_Unbalance_0.583
3,2021-06-25T07:52,0Nm_Unbalance_1169mg,0,unbalance,rotor,1169,FAILURE,LogFile_0Nm_Unbalance_0.1169
4,2021-06-25T07:55,0Nm_Unbalance_1751mg,0,unbalance,rotor,1751,FAILURE,LogFile_0Nm_Unbalance_0.1751
5,2021-06-25T07:58,0Nm_Unbalance_2239mg,0,unbalance,rotor,2239,FAILURE,LogFile_0Nm_Unbalance_0.2239
6,2021-06-25T08:01,0Nm_Unbalance_3318mg,0,unbalance,rotor,3318,FAILURE,LogFile_0Nm_Unbalance_0.3318
7,2021-06-25T08:05,2Nm_Unbalance_3318mg,2,unbalance,rotor,3318,FAILURE,LogFile_2Nm_Unbalance_0.3318
8,2021-06-25T08:08,2Nm_Unbalance_2239mg,2,unbalance,rotor,2239,FAILURE,LogFile_2Nm_Unbalance_0.2239
9,2021-06-25T08:11,2Nm_Unbalance_1751mg,2,unbalance,rotor,1751,FAILURE,LogFile_2Nm_Unbalance_0.1751
10,2021-06-25T08:14,2Nm_Unbalance_1169mg,2,unbalance,rotor,1169,FAILURE,LogFile_2Nm_Unbalance_0.1169
11,2021-06-25T08:17,2Nm_Unbalance_0583mg,2,unbalance,rotor,0583,WARNING,LogFile_2Nm_Unbalance_0.583
12,2021-06-25T08:20,2Nm_Normal,2,normal,none,,HEALTHY,LogFile_2Nm_Normal
13,2021-06-25T08:27,4Nm_Normal,4,normal,none,,HEALTHY,LogFile_4Nm_Normal
14,2021-06-25T08:31,4Nm_Unbalance_0583mg,4,unbalance,rotor,0583,WARNING,LogFile_4Nm_Unbalance_0.583
15,2021-06-25T08:34,4Nm_Unbalance_1169mg,4,unbalance,rotor,1169,FAILURE,LogFile_4Nm_Unbalance_0.1169
16,2021-06-25T08:37,4Nm_Unbalance_1751mg,4,unbalance,rotor,1751,FAILURE,LogFile_4Nm_Unbalance_1751mg
17,2021-06-25T08:40,4Nm_Unbalance_2239mg,4,unbalance,rotor,2239,FAILURE,LogFile_4Nm_Unbalance_2239mg
18,2021-06-25T08:43,4Nm_Unbalance_3318mg,4,unbalance,rotor,3318,FAILURE,LogFile_4Nm_Unbalance_3318mg
20,2021-06-25T08:51,4Nm_Misalign_01,4,misalignment,shaft,01,WARNING,LogFile_4Nm_Misalignment_0.1mm
21,2021-06-25T08:55,4Nm_Misalign_03,4,misalignment,shaft,03,FAILURE,LogFile_4Nm_Misalignment_0.3mm
24,2021-06-25T09:03,4Nm_Misalign_05,4,misalignment,shaft,05,FAILURE,LogFile_4Nm_Misalignment_0.5mm
26,2021-06-25T09:09,2Nm_Misalign_05,2,misalignment,shaft,05,FAILURE,LogFile_2Nm_Misalignment_0.5mm
27,2021-06-25T09:13,2Nm_Misalign_03,2,misalignment,shaft,03,FAILURE,LogFile_2Nm_Misalignment_0.3mm
30,2021-06-25T09:21,2Nm_Misalign_01,2,misalignment,shaft,01,WARNING,LogFile_2Nm_Misalignment_0.1mm
31,2021-06-25T09:25,0Nm_Misalign_01,0,misalignment,shaft,01,WARNING,LogFile_0Nm_Misalignment_0.1mm
32,2021-06-25T09:28,0Nm_Misalign_03,0,misalignment,shaft,03,FAILURE,LogFile_0Nm_Misalignment_0.3mm
33,2021-06-25T09:31,0Nm_Misalign_05,0,misalignment,shaft,05,FAILURE,LogFile_0Nm_Misalignment_0.5mm
38,2021-06-28T10:40,0Nm_BPFI_30,0,bearing,inner_race,30,FAILURE,LogFile_0Nm_Inner_3mm
40,2021-06-28T10:43,2Nm_BPFI_30,2,bearing,inner_race,30,FAILURE,LogFile_2Nm_Inner_3mm
42,2021-06-30T07:48,0Nm_BPFO_03,0,bearing,outer_race,03,WARNING,LogFile_0Nm_Outer_03mm
42,2021-06-28T10:47,4Nm_BPFI_30,4,bearing,inner_race,30,FAILURE,LogFile_4Nm_Inner_3mm
43,2021-06-28T11:02,0Nm_BPFI_03,0,bearing,inner_race,03,WARNING,LogFile_0Nm_Inner_1mm
44,2021-06-30T07:51,2Nm_BPFO_03,2,bearing,outer_race,03,WARNING,LogFile_2Nm_Outer_03mm
45,2021-06-28T11:13,2Nm_BPFI_10,2,bearing,inner_race,10,FAILURE,LogFile_2Nm_Inner_1mm
46,2021-06-30T07:55,4Nm_BPFO_03,4,bearing,outer_race,03,WARNING,LogFile_4Nm_Outer_03mm
47,2021-06-28T11:16,4Nm_BPFI_10,4,bearing,inner_race,10,FAILURE,LogFile_4Nm_Inner_1mm
47,2021-06-30T08:26,0Nm_BPFO_10,0,bearing,outer_race,10,FAILURE,LogFile_0Nm_Outer_1mm
48,2021-06-28T11:29,0Nm_BPFI_10,0,bearing,inner_race,10,FAILURE,LogFile_0Nm_Inner_03mm
49,2021-06-30T08:40,2Nm_BPFO_10,2,bearing,outer_race,10,FAILURE,LogFile_2Nm_Outer_1mm
50,2021-06-28T11:36,2Nm_BPFI_03,2,bearing,inner_race,03,WARNING,LogFile_2Nm_Inner_03mm
51,2021-06-30T08:43,4Nm_BPFO_10,4,bearing,outer_race,10,FAILURE,LogFile_4Nm_Outer_1mm
52,2021-06-30T09:02,0Nm_BPFO_30,0,bearing,outer_race,30,FAILURE,LogFile_0Nm_Outer_3mm
