session_id,load_nm,fault_family,fault_location,severity_code,severity_level,severity_value,severity_unit,label,has_vibration,has_current_temp,fs_vib,n_vib,dur_vib_s,vib_nan,acc1_rms_g,acc1_mean_g,acc1_kurt,acc2_rms_g,acc2_mean_g,acc2_kurt,acc3_rms_g,acc3_mean_g,acc3_kurt,acc4_rms_g,acc4_mean_g,acc4_kurt,rot_freq_hz,fs_ct,n_ct,dur_ct_s,ct_nan,temp1_mean_c,temp1_max_c,temp2_mean_c,temp2_max_c,current_r_rms_a,current_s_rms_a,current_t_rms_a,line_freq_hz
0Nm_BPFI_03,0,bearing,inner_race,03,1,0.3,mm,WARNING,True,True,25600.0,1536000,60.0,0,0.9533,-1e-06,11.151,1.4493,4.1e-05,19.127,0.2347,0.000117,3.364,0.1851,-1.1e-05,3.438,50.2,25608.19,1536492,60.0,0,28.08,28.53,28.47,28.74,2.322,2.3232,1.8143,48.5
0Nm_BPFI_10,0,bearing,inner_race,10,2,1.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,1.3524,3.4e-05,4.245,1.2596,0.000116,5.14,0.5312,0.000121,3.535,0.2818,2.6e-05,2.785,50.2,25608.19,1536492,60.0,0,27.01,27.11,28.54,28.72,2.3123,2.3144,1.8064,48.5
0Nm_BPFI_30,0,bearing,inner_race,30,3,3.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,0.7518,1.3e-05,4.168,1.1133,1.8e-05,7.008,0.3054,2.3e-05,3.571,0.2287,-2.7e-05,3.787,100.4,25608.19,1536492,60.0,0,27.54,28.05,27.3,27.58,2.3115,2.3142,1.8094,48.5
0Nm_BPFO_03,0,bearing,outer_race,03,1,0.3,mm,WARNING,True,True,25600.0,1536000,60.0,0,0.5344,2e-05,4.178,0.4632,6.7e-05,6.06,0.1979,2.5e-05,4.008,0.1242,-6e-06,3.262,100.4,25608.19,1536492,60.0,0,29.45,29.87,30.35,30.67,2.2154,,,48.5
0Nm_BPFO_10,0,bearing,outer_race,10,2,1.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,1.7469,2.3e-05,4.227,0.4152,-2.6e-05,4.779,0.7254,9.4e-05,3.958,0.1918,1.9e-05,3.073,100.4,25608.19,1536492,60.0,0,29.17,29.78,29.45,29.84,2.2347,,,48.5
0Nm_BPFO_30,0,bearing,outer_race,30,3,3.0,mm,FAILURE,True,True,25600.0,1536000,60.0,0,0.915,1.8e-05,3.295,1.2356,4.5e-05,2.977,0.4447,0.000108,3.626,0.3271,-0.0,4.076,50.2,25608.19,1536492,60.0,0,28.02,28.47,29.67,30.03,2.311,,,48.5
0Nm_Misalign_01,0,misalignment,shaft,01,1,1.0,nivel,WARNING,True,True,25600.0,3072000,120.0,0,0.1277,3e-06,3.041,0.0841,2e-05,3.12,0.1112,-2e-06,2.838,0.1148,-3e-06,2.076,100.3,25608.19,3072983,120.0,0,31.03,31.12,30.06,30.16,2.2835,2.28,1.7838,48.5
0Nm_Misalign_03,0,misalignment,shaft,03,2,2.0,nivel,FAILURE,True,True,25600.0,3072000,120.0,0,0.2098,8e-06,3.338,0.2895,6.8e-05,3.798,0.131,4e-05,3.049,0.1209,-9e-06,2.447,100.3,25608.19,3072983,120.0,0,31.07,31.23,29.82,29.89,2.286,2.2824,1.786,48.5
0Nm_Misalign_05,0,misalignment,shaft,05,3,3.0,nivel,FAILURE,True,True,25600.0,3072000,120.0,0,0.2996,-3.2e-05,3.411,0.4373,-0.000348,3.652,0.1352,-0.000134,2.985,0.1298,3e-06,2.778,50.1,25608.19,3072983,120.0,0,31.35,31.65,30.29,30.54,2.2867,2.2827,1.7863,48.5
0Nm_Normal,0,normal,none,,0,0.0,none,HEALTHY,True,True,25600.0,7680000,300.0,0,0.1023,3e-06,3.048,0.0732,-7e-06,3.077,0.0728,-8e-06,3.006,0.0735,-6e-06,2.64,100.3,25608.19,7682458,300.0,0,26.27,27.0,26.49,27.28,2.2009,2.175,1.723,48.5
0Nm_Unbalance_0583mg,0,unbalance,rotor,0583,1,583.0,mg,WARNING,True,True,25600.0,3072000,120.0,0,0.0948,-7e-06,3.185,0.0718,-2.4e-05,3.073,0.0745,-2.5e-05,2.998,0.0815,1.8e-05,2.521,50.2,25608.19,3072983,120.0,0,26.0,26.47,26.63,27.03,2.2096,2.2015,1.7241,48.5
0Nm_Unbalance_1169mg,0,unbalance,rotor,1169,2,1169.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.0992,-2e-06,3.206,0.0726,-8.3e-05,3.059,0.0758,-1.9e-05,2.993,0.0824,1.5e-05,2.512,50.2,25608.19,3072983,120.0,0,26.62,26.95,27.26,27.56,2.2066,2.1985,1.7229,48.5
0Nm_Unbalance_1751mg,0,unbalance,rotor,1751,3,1751.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.0997,-4e-06,3.2,0.0746,-4.3e-05,3.064,0.0752,-1.7e-05,3.012,0.0832,-2.6e-05,2.466,50.2,25608.19,3072983,120.0,0,26.92,27.2,27.43,27.67,2.2107,2.203,1.7267,48.5
0Nm_Unbalance_2239mg,0,unbalance,rotor,2239,4,2239.0,mg,FAILURE,True,True,25600.0,3072000,120.0,0,0.1023,0.0,3.218,0.0745,-0.000129,3.062,0.0759,-8.5e-05,2.999,0.0838,0.0,2.435,50.2,25608.19,3072983,120.0,0,27.17,27.43,27.57,27.79,2.2146,2.2069,1.7304,48.5
